"id","artKey","name","type","deck","setId","tier","description","prompt"
"dust-bunny-brigade","door.monster.dust-bunny-brigade","Dust Bunny Brigade","monster","door","core","1","A humorous fantasy interpretation of Dust Bunny Brigade.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Dust Bunny Brigade. A humorous fantasy interpretation of Dust Bunny Brigade."
"corridor-crab","door.monster.corridor-crab","Corridor Crab","monster","door","core","1","A humorous fantasy interpretation of Corridor Crab.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Corridor Crab. A humorous fantasy interpretation of Corridor Crab."
"dust-parliament","door.monster.dust-parliament","Dust Parliament","monster","door","core","1","A humorous fantasy interpretation of Dust Parliament.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Dust Parliament. A humorous fantasy interpretation of Dust Parliament."
"paper-mimic","door.monster.paper-mimic","Paper Mimic","monster","door","core","1","A humorous fantasy interpretation of Paper Mimic.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Paper Mimic. A humorous fantasy interpretation of Paper Mimic."
"lost-sock-swarm","door.monster.lost-sock-swarm","Lost Sock Swarm","monster","door","core","1","A humorous fantasy interpretation of Lost Sock Swarm.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Lost Sock Swarm. A humorous fantasy interpretation of Lost Sock Swarm."
"cupboard-specter","door.monster.cupboard-specter","Cupboard Specter","monster","door","core","1","A humorous fantasy interpretation of Cupboard Specter.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Cupboard Specter. A humorous fantasy interpretation of Cupboard Specter."
"whispering-vending-machine","door.monster.whispering-vending-machine","Whispering Vending Machine","monster","door","core","1","A humorous fantasy interpretation of Whispering Vending Machine.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Whispering Vending Machine. A humorous fantasy interpretation of Whispering Vending Machine."
"hallway-minotaur","door.monster.hallway-minotaur","Hallway Minotaur","monster","door","core","1","A humorous fantasy interpretation of Hallway Minotaur.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Hallway Minotaur. A humorous fantasy interpretation of Hallway Minotaur."
"bureaucratic-ooze","door.monster.bureaucratic-ooze","Bureaucratic Ooze","monster","door","core","2","A humorous fantasy interpretation of Bureaucratic Ooze.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Bureaucratic Ooze. A humorous fantasy interpretation of Bureaucratic Ooze."
"mirror-duelist-male","door.monster.mirror-duelist-male","Mirror Duelist: Mars","monster","door","core","2","A humorous fantasy interpretation of Mirror Duelist: Mars.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Mirror Duelist: Mars. A humorous fantasy interpretation of Mirror Duelist: Mars."
